Q1,Q2,Q3,Q4,Q5,Q6,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q14,Q15,Q16,Q17,CAMPAIGN,Brand_Perception_Before,Brand_Perception_After,Brand_Perception_Total,Purchase_Intention_Before,Purchase_Intention_After,Purchase_Intention_Total,Perceived_Impact_Before,Perceived_Impact_After,Perceived_Impact_Total
3,4,4,3,3,4,3,3,4,4,4,2,2,3,2,1,2,3.0,3.5,3.3333333333333335,4.0,3.0,3.5,3.5,3.0,3.375
1,3,4,1,4,2,1,1,1,5,3,1,1,1,3,2,2,1.0,1.0,1.0,3.0,1.0,2.0,2.75,2.2,2.625
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1,3,1,1,2,2,2,3,2,1,3,2,5,5,1,2,2,1.0,2.0,1.6666666666666667,3.0,3.0,3.0,1.5,3.2,2.5
2,3,4,2,3,2,3,2,2,4,3,2,3,2,2,1,2,2.0,2.5,2.3333333333333335,3.0,2.0,2.5,2.75,2.8,2.875
4,3,4,3,4,4,4,2,2,2,3,4,4,4,2,2,2,4.0,3.0,3.3333333333333335,3.0,2.0,2.5,3.75,3.4,3.5
2,5,4,2,4,4,5,2,4,5,1,3,2,2,2,3,2,2.0,4.5,3.6666666666666665,5.0,2.0,3.5,3.5,2.6,3.0
2,4,3,3,4,3,3,4,4,4,4,4,3,4,2,2,2,2.0,3.5,3.0,4.0,4.0,4.0,3.25,3.8,3.5
2,3,4,3,3,3,3,2,2,4,3,3,3,3,1,3,2,2.0,2.5,2.3333333333333335,3.0,2.0,2.5,3.25,3.2,3.25
3,4,4,2,4,4,4,2,4,3,4,2,3,3,1,3,2,3.0,4.0,3.6666666666666665,4.0,2.0,3.0,3.5,3.0,3.375
2,3,4,2,3,2,3,3,3,3,3,3,1,1,2,3,2,2.0,3.0,2.6666666666666665,3.0,3.0,3.0,2.75,2.2,2.375
2,3,1,2,4,2,2,2,2,4,3,2,1,1,1,3,2,2.0,2.0,2.0,3.0,2.0,2.5,2.25,2.2,2.25
1,4,3,2,3,3,2,2,2,4,2,2,1,2,1,2,2,1.0,2.0,1.6666666666666667,4.0,2.0,3.0,2.75,2.2,2.5
3,3,4,3,3,3,3,2,3,4,3,3,2,3,1,3,2,3.0,3.0,3.0,3.0,2.0,2.5,3.25,3.0,3.125
2,3,4,2,3,1,3,4,4,4,2,3,3,4,2,2,2,2.0,3.5,3.0,3.0,4.0,3.5,2.5,3.2,2.875
2,4,4,2,4,2,2,2,3,3,3,3,3,3,2,1,2,2.0,2.5,2.3333333333333335,4.0,2.0,3.0,3.0,3.0,3.0
4,4,3,2,4,5,2,1,3,3,3,3,2,3,2,2,2,4.0,2.5,3.0,4.0,1.0,2.5,3.5,2.8,3.125
2,5,3,3,4,3,3,4,4,4,4,4,3,4,2,2,2,2.0,3.5,3.0,5.0,4.0,4.5,3.25,3.8,3.5
4,4,4,2,3,2,2,4,4,4,4,3,2,4,1,2,2,4.0,3.0,3.3333333333333335,4.0,4.0,4.0,2.75,3.4,3.125
2,4,3,3,3,3,3,4,5,5,4,4,3,4,2,2,2,2.0,4.0,3.3333333333333335,4.0,4.0,4.0,3.0,4.0,3.5
2,4,4,2,4,3,4,4,5,5,4,4,3,4,2,2,2,2.0,4.5,3.6666666666666665,4.0,4.0,4.0,3.25,4.0,3.625
1,4,3,3,4,3,4,4,4,4,4,3,3,4,2,2,2,1.0,4.0,3.0,4.0,4.0,4.0,3.25,3.6,3.5
3,3,4,3,2,3,3,4,3,5,4,2,3,3,2,2,2,3.0,3.0,3.0,3.0,4.0,3.5,3.0,3.4,3.375
2,4,3,3,3,2,3,4,5,4,4,3,3,5,2,2,2,2.0,4.0,3.3333333333333335,4.0,4.0,4.0,2.75,3.8,3.375
4,4,2,2,4,4,4,3,4,5,5,5,3,3,1,2,2,4.0,4.0,4.0,4.0,3.0,3.5,3.0,4.2,3.5
4,2,1,1,5,1,2,1,1,1,1,2,2,1,1,2,2,4.0,1.5,2.3333333333333335,2.0,1.0,1.5,2.0,1.4,1.625
4,2,2,4,2,3,4,1,2,5,3,2,2,3,1,2,2,4.0,3.0,3.3333333333333335,2.0,1.0,1.5,2.75,3.0,3.0
2,2,4,5,4,4,4,5,4,2,2,2,4,3,1,2,2,2.0,4.0,3.3333333333333335,2.0,5.0,3.5,4.25,2.6,3.5
2,4,4,3,3,4,3,4,5,5,4,4,3,5,2,2,2,2.0,4.0,3.3333333333333335,4.0,4.0,4.0,3.5,4.2,3.875
2,4,3,3,5,2,4,4,4,4,4,4,3,4,2,2,2,2.0,4.0,3.3333333333333335,4.0,4.0,4.0,3.25,3.8,3.5
